sexe,age,couleur
M,29,gris
M,28,rouge
M,36,bleu
M,47,noir
F,64,bleu
M,20,bleu
M,34,blanc
M,84,gris
M,21,noir
M,69,rouge
M,29,noir
F,29,bleu
F,51,noir
M,47,noir
M,33,rouge
M,70,gris
F,65,bleu
F,47,rouge
F,47,gris
F,52,noir
M,24,bleu
M,27,noir
F,29,rouge
F,54,bleu
M,31,noir
F,49,rouge
F,55,rouge
M,27,bleu
F,37,bleu
F,43,gris
F,30,noir
M,32,bleu
F,23,bleu
M,54,blanc
M,25,bleu
F,52,bleu
F,49,gris
M,24,rouge
M,42,bleu
F,19,rouge
F,19,bleu
M,23,rouge
M,39,gris
F,52,blanc
M,56,blanc
M,25,noir
M,59,noir
M,23,noir
M,57,rouge
F,67,blanc
M,69,blanc
M,28,rouge
M,50,gris
M,50,noir
M,79,noir
F,71,blanc
M,54,bleu
M,57,gris
M,52,gris
F,49,noir
M,47,gris
M,46,bleu
M,74,rouge
M,48,rouge
F,23,gris
M,36,rouge
M,21,rouge
M,42,noir
M,26,gris
M,41,gris
M,61,rouge
M,70,rouge
F,44,noir
F,29,gris
M,35,noir
M,74,noir
F,35,rouge
F,41,bleu
F,45,noir
M,78,noir
F,77,blanc
F,75,bleu
M,50,gris
M,20,bleu
M,71,blanc
M,28,noir
M,29,blanc
M,18,bleu
F,84,bleu
M,43,rouge
M,46,gris
F,32,bleu
M,79,noir
M,22,noir
F,84,bleu
F,26,bleu
M,27,gris
M,20,gris
M,69,rouge
M,47,bleu
F,27,blanc
M,21,gris
M,38,gris
F,27,blanc
F,26,gris
F,20,gris
M,38,noir
M,47,bleu
M,27,gris
M,39,rouge
M,42,gris
M,27,rouge
M,19,rouge
M,37,blanc
M,41,gris
F,20,noir
M,70,bleu
F,59,noir
M,29,noir
F,68,bleu
F,48,gris
F,38,gris
M,43,bleu
M,19,rouge
M,31,noir
M,21,gris
F,61,rouge
M,47,blanc
M,46,gris
M,20,blanc
M,27,noir
M,55,gris
M,55,gris
F,49,blanc
F,34,gris
M,30,noir
F,70,bleu
M,49,bleu
F,71,blanc
F,51,blanc
M,78,blanc
F,61,blanc
M,46,bleu
M,34,blanc
F,31,rouge
M,28,bleu
F,41,noir
F,46,rouge
F,21,bleu
M,60,gris
F,75,rouge
M,43,bleu
M,46,rouge
F,25,blanc
M,48,rouge
F,24,bleu
F,22,blanc
M,28,noir
M,27,noir
F,20,blanc
F,47,gris
M,79,gris
M,20,bleu
M,46,rouge
M,35,gris
M,58,noir
M,20,blanc
M,42,noir
F,82,blanc
M,74,gris
F,32,gris
M,29,rouge
M,49,noir
F,40,rouge
M,28,blanc
F,42,rouge
M,79,rouge
F,39,rouge
F,54,noir
M,37,gris
M,64,rouge
M,28,blanc
M,22,gris
F,30,gris
M,81,rouge
M,22,gris
M,45,blanc
M,70,rouge
M,47,blanc
F,21,rouge
M,20,noir
F,59,noir
M,25,blanc
F,79,gris
M,32,noir
F,31,rouge
F,24,bleu
M,41,noir
M,54,rouge
M,18,rouge
F,66,blanc
M,29,noir
M,20,blanc
M,68,gris
M,63,rouge
M,58,gris
M,31,blanc
M,42,rouge
M,19,gris
M,34,blanc
M,18,rouge
F,62,noir
F,20,gris
F,37,bleu
M,44,rouge
M,26,rouge
M,24,rouge
F,35,bleu
M,25,gris
M,72,bleu
F,18,gris
M,45,bleu
M,34,noir
M,21,bleu
F,52,bleu
M,45,noir
M,27,bleu
M,76,noir
M,58,noir
M,79,gris
M,57,blanc
F,25,blanc
M,30,gris
F,51,gris
M,41,rouge
M,69,bleu
M,56,blanc
M,80,noir
M,26,gris
M,18,blanc
M,56,noir
F,61,gris
M,50,rouge
F,58,gris
M,20,rouge
M,56,blanc
M,50,blanc
M,23,noir
M,24,rouge
F,23,noir
-,57,bleu
F,40,noir
F,47,blanc
F,25,rouge
M,44,gris
M,46,gris
M,24,noir
F,56,bleu
M,65,bleu
F,34,noir
M,73,rouge
M,45,rouge
F,20,bleu
M,53,bleu
M,29,blanc
F,48,noir
M,44,blanc
F,29,noir
M,76,rouge
M,30,bleu
F,28,blanc
F,21,rouge
M,34,rouge
F,19,bleu
M,57,noir
M,34,gris
F,58,bleu
M,23,noir
M,45,noir
M,80,rouge
F,33,blanc
M,58,rouge
